summary_day,app,event_classification,duration_seconds,summary_day_end
2021-02-27,SearchApp.exe,SearchApp.exe,6.339,2021-02-28
2021-02-27,ShellExperienceHost.exe,ShellExperienceHost.exe,2.982,2021-02-28
2021-02-27,Taskmgr.exe,Taskmgr.exe,18.219,2021-02-28
2021-02-27,Telegram.exe,Telegram.exe,23.108,2021-02-28
2021-02-27,VSCode,VSCode,0.0,2021-02-28
2021-02-27,VSCode,akb-intel,1472.0980000000004,2021-02-28
2021-02-27,VSCode,eeg-notebooks,37.701,2021-02-28
2021-02-27,VSCode,getting started,12.876000000000001,2021-02-28
2021-02-27,VSCode,release notes: 1.54.0-insider,783.364,2021-02-28
2021-02-27,VSCode,select python interpreter,17.8,2021-02-28
2021-02-27,VSCode,setup,0.187,2021-02-28
2021-02-27,VSCode,testing4.xdf,1.384,2021-02-28
2021-02-27,VSCode,untitled,20.029000000000003,2021-02-28
2021-02-27,VSCode,welcome,8.588,2021-02-28
2021-02-27,WINWORD.EXE,WINWORD.EXE,687.627,2021-02-28
2021-02-27,WindowsTerminal.exe,WindowsTerminal.exe,4.718,2021-02-28
2021-02-27,aw-qt.exe,aw-qt.exe,3.7119999999999997,2021-02-28
2021-02-27,explorer.exe,explorer.exe,177.20499999999993,2021-02-28
2021-02-27,msedge.exe,activitywatch,255.445,2021-02-28
2021-02-27,msedge.exe,activitywatch forum,17.903,2021-02-28
2021-02-27,msedge.exe,admits kubernetes,4.5809999999999995,2021-02-28
2021-02-27,msedge.exe,admits kubernetes container,3.504,2021-02-28
2021-02-27,msedge.exe,afriknowledgebase,96.962,2021-02-28
2021-02-27,msedge.exe,angel investors,12.052,2021-02-28
2021-02-27,msedge.exe,apartments.com,40.016999999999996,2021-02-28
2021-02-27,msedge.exe,app on heroku,1.378,2021-02-28
2021-02-27,msedge.exe,app with heroku,10.989,2021-02-28
2021-02-27,msedge.exe,bing,19.027,2021-02-28
2021-02-27,msedge.exe,buying crypto,1.355,2021-02-28
2021-02-27,msedge.exe,change header,0.0,2021-02-28
2021-02-27,msedge.exe,checkout,8.611,2021-02-28
2021-02-27,msedge.exe,collections in microsoft,0.055,2021-02-28
2021-02-27,msedge.exe,compare two numpy,371.933,2021-02-28
2021-02-27,msedge.exe,confirm,5.877,2021-02-28
2021-02-27,msedge.exe,constantly feel,84.28,2021-02-28
2021-02-27,msedge.exe,contributors,21.411,2021-02-28
2021-02-27,msedge.exe,convert numpy,3.747,2021-02-28
2021-02-27,msedge.exe,convert python,1.238,2021-02-28
2021-02-27,msedge.exe,crypto,8.841999999999999,2021-02-28
2021-02-27,msedge.exe,dash,192.643,2021-02-28
2021-02-27,msedge.exe,dashboard,6.225,2021-02-28
2021-02-27,msedge.exe,data from experiments,317.58199999999994,2021-02-28
2021-02-27,msedge.exe,deploying a flask,548.779,2021-02-28
2021-02-27,msedge.exe,dev center,36.61900000000001,2021-02-28
2021-02-27,msedge.exe,device emulators,3.4619999999999997,2021-02-28
2021-02-27,msedge.exe,discord,0.003,2021-02-28
2021-02-27,msedge.exe,django on heroku,29.75,2021-02-28
2021-02-27,msedge.exe,documentation,3.5460000000000003,2021-02-28
2021-02-27,msedge.exe,docusign,0.016,2021-02-28
2021-02-27,msedge.exe,dropbox,3.084,2021-02-28
2021-02-27,msedge.exe,dump,5.199,2021-02-28
2021-02-27,msedge.exe,emulators,2.316,2021-02-28
2021-02-27,msedge.exe,engineering manager resource,45.025000000000006,2021-02-28
2021-02-27,msedge.exe,errno,11.375,2021-02-28
2021-02-27,msedge.exe,error,30.924999999999994,2021-02-28
2021-02-27,msedge.exe,features,0.031,2021-02-28
2021-02-27,msedge.exe,firmware,51.454,2021-02-28
2021-02-27,msedge.exe,getequity,34.106,2021-02-28
2021-02-27,msedge.exe,giftzshop,14.392,2021-02-28
2021-02-27,msedge.exe,github,428.47400000000005,2021-02-28
2021-02-27,msedge.exe,github sponsors,19.718,2021-02-28
2021-02-27,msedge.exe,gmail,795.583,2021-02-28
2021-02-27,msedge.exe,heroku,31.231,2021-02-28
2021-02-27,msedge.exe,heroku dev,60.10900000000001,2021-02-28
2021-02-27,msedge.exe,hncynic bot,21.749,2021-02-28
2021-02-27,msedge.exe,hollyburn properties,19.975,2021-02-28
2021-02-27,msedge.exe,https,0.023,2021-02-28
2021-02-27,msedge.exe,intel-akb,78.744,2021-02-28
2021-02-27,msedge.exe,issue,7.15,2021-02-28
2021-02-27,msedge.exe,issues,9.585999999999999,2021-02-28
2021-02-27,msedge.exe,join,4.707,2021-02-28
