summary_day,app,event_classification,duration_seconds,summary_day_end
2022-01-06,VSCode,microsoft edge,0.0,2022-01-07
2022-01-06,VSCode,readme.md — fusion,20.108,2022-01-07
2022-01-06,VSCode,untitled-1 — eeg-notebooks,16.202,2022-01-07
2022-01-09,VSCode,/bin • untitled-1 — fusion,0.0,2022-01-10
2022-01-09,VSCode,index.js — fusion,178.656,2022-01-10
2022-01-09,VSCode,mac setu • untitled-1 — fusion,0.0,2022-01-10
2022-01-09,VSCode,mac setup • untitled-1 — fusion,167.698,2022-01-10
2022-01-09,VSCode,mac • untitled-1 — fusion,0.0,2022-01-10
2022-01-09,VSCode,manifest.json — fusion,13.521,2022-01-10
2022-01-09,VSCode,readme.md — fusion,100.279,2022-01-10
2022-01-09,VSCode,requirements.txt — fusion,589.646,2022-01-10
2022-01-09,VSCode,untitled-1 — fusion,4.558,2022-01-10
2022-01-14,VSCode,requirements.txt — fusion,7.969,2022-01-15
2022-01-15,VSCode,requirements.txt — fusion,27.394,2022-01-16
2022-01-16,VSCode,requirements.txt — fusion,67.285,2022-01-17
2022-01-22,VSCode,app.py — decide,2749.69,2022-01-23
2022-01-22,VSCode,dbconnect.py — decide,789.253,2022-01-23
2022-01-22,VSCode,extension: github theme — decide,28.877,2022-01-23
2022-01-22,VSCode,extension: vsconnect — decide,31.338,2022-01-23
2022-01-22,VSCode,get started — decide,18.992,2022-01-23
2022-01-22,VSCode,gpt.py — decide,443.90000000000003,2022-01-23
2022-01-22,VSCode,mac setup • untitled-1,17.124,2022-01-23
2022-01-22,VSCode,microsoft edge,0.0,2022-01-23
2022-01-22,VSCode,ore,0.0,2022-01-23
2022-01-22,VSCode,qb_v0.ipynb — decide,129.05,2022-01-23
2022-01-22,VSCode,readme.md — decide,662.995,2022-01-23
2022-01-22,VSCode,settings — decide,53.85,2022-01-23
2022-01-22,VSCode,slack.py — decide,1951.3709999999999,2022-01-23
2022-01-22,VSCode,slack_bot_decide.py (deleted) — decide,13.28,2022-01-23
2022-01-22,VSCode,slack_bot_decide.py — decide,344.793,2022-01-23
2022-01-22,VSCode,untitled,0.0,2022-01-23
2022-01-23,VSCode,.gitignore — decide,72.65299999999999,2022-01-24
2022-01-23,VSCode,.gitignore — question (workspace),22.218,2022-01-24
2022-01-23,VSCode,_ast.pyi — decide,23.627,2022-01-24
2022-01-23,VSCode,app.py — decide,4739.107,2022-01-24
2022-01-23,VSCode,app.py — question (workspace),877.398,2022-01-24
2022-01-23,VSCode,dbconnect.py — decide,278.378,2022-01-24
2022-01-23,VSCode,dbconnect.py — question (workspace),635.205,2022-01-24
2022-01-23,VSCode,dbconnect.py — untitled (workspace),87.891,2022-01-24
2022-01-23,VSCode,downloads,0.0,2022-01-24
